Year,Agriculture,Mining and quarrying,Manufacturing ,Construction ,Services ,Total
2005,8219,2610,48912,11268,89586,160594
2006,9451,2871,53057,11774,100773,177926
2007,12301,3760,56402,13859,115454,201775
2008,14388,4225,58341,15466,132981,225401
2009,11972,4405,52915,16756,139507,225556
2010,15543,4959,61952,20326,157902,260682
2011,20051,5504,68689,22584,175567,292394
2012,18174,6052,73504,27269,197810,322809
2013,17582,6449,78489,31141,211906,345568
2014e,18652,7063,87186,35736,230339,378976
2015p,18561,7107,93078,39832,243801,402379
 